English,System BG,Reference BG,en_idx,bg_idx,segment
"2.3.13Requirement 18: Human imaging using radiation for purposes other than medical diagnosis, medical treatment or biomedical research2-55","2.3.13Изискване 18: Човешко изображение с използване на радиация за цели, различни от медицинска диагноза, медицинско лечение или биомедицински изследвания2-55","2.3.13Изискване 18: Образни изследвания с използване на йонизиращи лъчения за цели, различни от медицинска диагностика, медицинско лечение или биомедицински изследвания2-66",62,116,dp
2.3.14Requirement 19: Responsibilities of the regulatory body specific to occupational exposure2-59,"2.3.14Изискване 19: Отговорности на регулаторния орган, специфични за професионална експозиция2-59",2.3.14Изискване 19: Отговорности на регулаторния орган по отношение на професионалното облъчване.2-71,63,117,dp
2.3.15Requirement 20: Requirements for monitoring and recording of occupational exposures2-60,2.3.15Изискване 20: Изисквания за мониторинг и регистриране на професионалните експозиции2-60,2.3.15Изискване 20: Изисквания за мониторинг и регистриране на професионални облъчвания2-72,64,118,dp
"2.3.16Requirement 21: Responsibilities of employers, registrants and licensees for the protection of workers2-61","2.3.16Изискване 21: Отговорности на работодатели, регистранти и лицензи за защита на работници2-61","2.3.16Изискване 21: Отговорности на работодатели, регистрирани лица и лицензианти за защитата на персонала2-73",65,119,dp
2.3.17Requirement 22: Compliance by workers2-65,2.3.17Изискване 22: Съответствие от работници2-65,2.3.17Изискване 22: Спазване на изискванията от персонала2-78,66,120,dp
2.3.18Requirement 23: Cooperation between employers and registrants and,2.3.18Изискване 23: Сътрудничество между работодатели и регистранти и,2.3.18Изискване 23: Сътрудничество между работодатели и регистрирани лица и лицензианти2-79,67,121,dp
licensees2-66,лицензополучатели2-66,,68,,dp
2.3.19Requirement 24: Arrangements under the radiation protection,2.3.19Изискване 24: Оформление под радиационната защита,2.3.19Изискване 24: Мерки в рамките на програмата за радиационна защита2-81,69,122,dp
programme2-67,Програма2-67,,70,,dp
2.3.20Requirement 25: Assessment of occupational exposure and workers’ health surveillance2-75,2.3.20Изискване 25: Оценка на професионалната експозиция и здравно наблюдение на работниците2-75,2.3.20Изискване 25: Оценка на професионалното облъчване и наблюдение на здравето на работниците2-90,71,123,dp
"2.3.21Requirement 26: Information, instruction and training2-79","2.3.21Изискване 26: Информация, инструкции и обучение2-79","2.3.21Изискване 26: Информация, инструктаж и обучение2-95",72,124,dp
2.3.22Requirement 27: Conditions of service2-80,2.3.22Изискване 27: Условия за експлоатация2-80,2.3.22Изискване 27: Условия на труд2-97,73,125,dp
2.3.23Requirement 28: Special arrangements for protection and safety for female workers and for persons under 18 years of age undergoing training2-81,"2.3.23Изискване 28: Специални мерки за защита и безопасност на жени работници и лица под 18-годишна възраст, подложени на обучение2-81","2.3.23Изискване 28: Специални мерки за защита и безопасност на бременни и кърмещи жени и лица под 18 години, които се обучават2-98",74,126,dp
2.3.24Requirement 29: Responsibilities of the government and the regulatory body specific to public exposure2-83,"2.3.24Изискване 29: Отговорности на правителството и регулаторния орган, специфични за публична експозиция2-83",2.3.24Изискване 29: Отговорности на правителството и регулаторния орган по отношение на облъчването на населението2-100,75,127,dp
2.3.25Requirement 30: Responsibilities of relevant parties specific to public,"2.3.25Изискване 30: Отговорности на съответните страни, специфични за обществеността",2.3.25Изискване 30: Отговорности на съответните страни по отношение на облъчването на населението2-103,76,128,dp
exposure2-86,Експозиция2-86,,77,,dp
2.3.26Requirement 31: Radioactive waste and discharges2-92,2.3.26Изискване 31: Радиоактивни отпадъци и изхвърляния2-92,2.3.26Изискване 31: Радиоактивни отпадъци и изхвърляния2-111,78,129,dp
2.3.27Requirement 32: Monitoring and reporting2-95,2.3.27Изискване 32: Мониторинг и докладване2-95,2.3.27Изискване 32: Мониторинг и регистрация на резултатите2-114,79,130,dp
2.3.28Requirement 33: Consumer products2-98,2.3.28Изискване 33: Потребителски продукти2/98,2.3.28Изискване 33: Потребителски продукти2-118,80,131,dp
2.3.29Requirement 34: Responsibilities of the government specific to medical,"2.3.29Изискване 34: Отговорности на правителството, специфични за медицината",2.3.29Изискване 34: Отговорности на правителството по отношение на медицинското облъчване2-122,81,132,dp
exposure2-101,Експозиция 2-101,,82,,dp
2.3.30Requirement 35: Responsibilities of the regulatory body specific to medical exposure2-103,"2.3.30 Изискване 35: Отговорности на регулаторния орган, специфични за медицинска експозиция2-103",2.3.30Изискване 35: Отговорности на регулаторния орган по отношение на медицинското облъчване2-124,83,133,dp
2.3.31Requirement 36: Responsibilities of registrants and licensees specific to medical exposure2-104,"2.3.31Изискване 36: Отговорности на регистранти и лицензи, специфични за медицинска експозиция2-104",2.3.31Изискване 36: Отговорности на регистрираните лица и лицензиантите по отношение на медицинското облъчване2-125,84,134,dp
2.3.32Requirement 37: Justification of medical exposures2-107,2.3.32Изискване 37: Обосновка на медицински експозиции2-107,2.3.32Изискване 37: Обосновка на медицински облъчвания2-129,85,135,dp
2.3.33Requirement 38: Optimization of protection and safety2-110,2.3.33Изискване 38: Оптимизация на защитата и безопасността2-110,2.3.33Изискване 38: Оптимизация на защитата и безопасността2-132,86,136,dp
2.3.34Requirement 39: Pregnant or breast-feeding female patients2-116,2.3.34Изискване 39: Бременни или кърмещи жени 2-116,2.3.34Изискване 39: Бременни или кърмещи пациентки2-139,87,137,dp
2.3.35Requirement 40: Release of patients after radionuclide therapy2-118,2.3.35Изискване 40: Освобождаване на пациенти след лечение с радионуклид2-118,2.3.35Изискване 40: Изписване на пациенти след радионуклидна терапия2-141,88,138,dp
2.3.36Requirement 41: Unintended and accidental medical exposures2-119,2.3.36Изискване 41: Непреднамерени и случайни медицински експозиции2-119,2.3.36Изискване 41: Непланирано и инцидентно медицинско облъчване2-142,89,139,dp
2.3.37Requirement 42: Reviews and records2-121,2.3.37Изискване 42: Отзиви и записи2-121,2.3.37Изискване 42: Проверки и записи2-145,90,140,dp
2.4Emergency exposure situations2-124,2.4 Спешни ситуации на експозиция2-124,2.4Ситуации на аварийно облъчване2-148,91,141,dp
2.4.1Requirement 43: Emergency management system2-124,2.4.1Изискване 43: Система за управление при извънредни ситуации2-124,2.4.1Изискване 43: Система за управление на аварийни ситуации2-149,92,142,dp
2.4.2Requirement 44: Preparedness and response for an emergency2-126,2.4.2Изискване 44: Подготовка и реагиране при спешен случай2-126,2.4.2Изискване 44: Готовност и реагиране в случай на аварийна ситуация2-151,93,143,dp
2.4.3Requirement 45: Arrangements for controlling the exposure of emergency workers2-131,2.4.3Изискване 45: Уредби за контрол на експозицията на аварийните работници2-131,2.4.3Изискване 45: Мерки за контрол на облъчването на аварийни работници2-156,94,144,dp
2.4.4Requirement 46: Arrangements for the transition from an emergency exposure situation to an existing exposure situation2-133,2.4.4Изискване 46: Разпоредби за преминаване от извънредна експозиция към съществуваща ситуация на експозиция2-133,2.4.4Изискване 46: Мерки за преминаване от ситуация на аварийно облъчване към ситуация на съществуващо облъчване2-159,95,145,dp
2.5Existing exposure situations2-134,2.5 Ситуации на експозиция2-134,2.5Ситуации на съществуващо облъчване2-160,96,146,dp
2.5.1Requirement 47: Responsibilities of the government specific to existing exposure situations2-136,"2.5.1 Изискване 47: Отговорности на правителството, специфични за съществуващи ситуации на експозиция2-136",2.5.1Изискване 47: Отговорности на правителството по отношение на ситуации на съществуващо облъчване2-162,97,147,dp
2.5.2Requirement 48: Justification for protective actions and optimization of protection and safety2-138,2.5.2Изискване 48: Обосновка за защитни действия и оптимизиране на защитата и безопасността2-138,2.5.2Изискване 48: Обосновка на защитните действия и оптимизация на защитата и безопасността2-165,98,148,dp
2.5.3Requirement 49: Responsibilities for remediation of areas with residual radioactive material2-139,2.5.3Изискване 49: Отговорности за възстановяване на райони с остатъчен радиоактивен материал2-139,2.5.3Изискване 49: Отговорности за възстановяване на зони с остатъчен радиоактивен материал2-166,99,149,dp
2.5.4Requirement 50: Public exposure due to radon indoors2-145,2.5.4Изискване 50: Публична експозиция поради радон на закрито2-145,"2.5.4Изискване 50: Облъчване на населението, обусловено от присъствието на радон в закрити помещения2-173",100,150,dp
2.5.5Requirement 51: Exposure due to radionuclides in commodities2-147,"2.5.5Изискване 51: Експозиция, дължаща се на радионуклиди в стоки2-147","2.5.5Изискване 51: Облъчване, обусловено от присъствието на радионуклиди в потребителски стоки2-176",101,151,dp
2.5.6Requirement 52: Exposure in workplaces2-148,2.5.6Изискване 52: Експозиция на работни места2-148,2.5.6Изискване 52: Облъчване на работните места2-177,102,152,dp
3References3-1,3Референции3—1,3Референтни документи3-1,103,153,dp
LIST OF ACRONYMS AND ABBREVIATIONS,СПИСЪК НА АКРОНИМИ И СЪБРАВЕНИЯ,СПИСЪК НА АКРОНИМИТЕ И СЪКРАЩЕНИЯТА,104,154,dp
AC,AC,AC,105,155,dp
Alternating current,Алтернативен ток,Променлив ток,106,156,dp
ADS,ADS,,107,,dp
Automatic Depressurization System,Автоматична система за намаляване на налягането,,108,,dp
ALARA,АЛАРА,ALARA,109,157,dp
As Low As Reasonably Achievable,"Толкова ниско, колкото разумно постижимо","Толкова ниско, колкото е разумно постижимо",110,158,dp
ALWR,ALWR,ALWR,111,159,dp
Advanced Light Water Reactor,Advanced Light Water Reactor,Усъвършенстван леководен реактор,112,160,dp
ANSI,ANSI,ANSI,113,161,dp
American National Standards Institute,Американски национален институт по стандарти,Американски национален институт по стандартизация,114,162,dp
AOO,Ауууууууууууууууууууууууууууууууууууу!,AOO,115,163,dp
Anticipated Operational Occurrence,Очаквано оперативно събитие,Очаквано експлоатационно събитие,116,164,dp
AOP,AOP,AOP,117,165,dp
Abnormal Operating Procedure,Абнормна оперативна процедура,,118,,dp
ASME,АСМЕ,ASME,119,167,dp
American Society of Mechanical Engineers,Американско дружество на машиностроителите,Американско дружество на машинните инженери,120,168,dp
ATWS,ATWS,ATWS,121,169,dp
Anticipated Transients Without Scram,Предвиждани преходни вещества без счупване,,122,,dp
CAV,CAV,CFR,123,171,dp
Cumulative Absolute Velocity,Кумулативна абсолютна скорост,,124,,dp
CCS,CCS,,125,,dp
Component Cooling Water System,Компонентна охладителна водна система,,126,,dp
CDF,CDF,CWO,127,175,dp
Core Damage Frequency,Честота на щетите от ядрото,,128,,dp
CFR,CFR (CFR),,129,,dp
Code of Federal Regulations,Код на федералните регламенти,,130,,dp
CMT,CMT,,131,,dp
Core Makeup Tank,Основен резервоар за грим,,132,,dp
CNS,ЦНС,EDS,133,181,dp
Containment System,Ограничителна система,,134,,dp
COM,COM,EOF,135,183,dp
Compliance,Съответствие,,136,,dp
CVS,CVS,,137,,dp
Chemical and Volume Control System,Система за контрол на химическия и обемния поток,,138,,dp
CWO,CWO,,139,,dp
Compliance with Objective,Съответствие с цел,,140,,dp
DAS,DAS,FEED,141,189,dp
Diverse Actuation System,Диверсна система за задействане,,142,,dp
DBA,DBA,GDA,143,191,dp
Design Basis Accident,Проектиране Basis инцидент,,144,,dp
DBE,DBE,HCLPF,145,193,dp
Design Basis Event,Събитие в основата на дизайна,,146,,dp
DC,DC,,147,,dp
Direct Current,Директен ток,Топлообменник,148,196,dp
DCD,DCD,IDS,149,197,dp
Design Control Document,Проектен контролен документ,,150,,dp
DDS,DDS,,151,,dp
Data Display and Processing System,Система за изобразяване и обработка на данни,,152,,dp
DEC,DEC,LOCA,153,201,dp
Design Extension Condition,Условие за разширение на дизайна,,154,,dp
DiD,ДИД,NAN,155,203,dp
Defense-in-Depth,Отбрана-в-запад,,156,,dp
DNB,DNB,,157,,dp
Departure from Nucleate Boiling,Отпътуване от нуклеатно кипене,,158,,dp
DOS,ДОЗИ,NEI,159,207,dp
Standby Diesel Fuel Oil System,Изчакване на системата за дизелово гориво,,160,,dp
D-RAP,Д-РАП,NOC,161,209,dp
Design Reliability Assurance Program,Проектна програма за осигуряване на надеждност,,162,,dp
EAB,EAB,NR,163,211,dp
Exclusion Area Boundary,Граница на зоната за изключване,,164,,dp
ECS,ECS,,165,,dp
Non-Class 1E Main AC Power System,"Основна захранваща система за променлив ток, различна от клас 1E",,166,,dp
EDS,EDS,OR,167,215,dp
Non-Class 1E and UPS Power System,Неклас 1E и UPS захранваща система,,168,,dp
EOF,EOF,,169,,dp
Emergency Operations Facility,Механизъм за спешно реагиране,,170,,dp
EP,EP,,171,,dp
External party,Външна страна,,172,,dp
EPRI,EPRI,,173,,dp
Electric Power Research Institute,Институт за изследване на електроенергията,,174,,dp
EUR,EUR,,175,,dp
European Utility Requirements,Европейски изисквания за комуналност,,176,,dp
EURATOM,ЕВРАТОМ,,177,,dp
European Atomic Energy Community,Европейска общност за атомна енергия,,178,,dp
FEED,ФУРАЖ,RG,179,227,dp
Front-End Engineering and Desing,Предна част на инженерното и нашествието,,180,,dp
FWS,FWS,,181,,dp
Main and Startup Feedwater System,Главна и система за стартиране на захранващата вода,,182,,dp
GDA,GDA,,183,,dp
Generic Design Assessment,Обща оценка на дизайна,,184,,dp
GDC,ГДК,URD,185,233,dp
General Design Criterion,Критерий за общ дизайн,,186,,dp
HCLPF,HCLPF,,187,,dp
"High-Confidence, Low Probability of Failure","Висока увереност, ниска вероятност за провал",,188,,dp
HSI,ОЗХО,АСПН,189,237,dp
Human-System Interface,Интерфейс с човешки системи,,190,,dp
HVAC,HVAC,,191,,dp
"Heating, Ventilating and Air Conditioning","Отопление, вентилация и климатизация",,192,,dp
HX,HX,БПАЗ,193,241,dp
Heat Exchanger,Топлообменник,,194,,dp
I&C,I&C,БЩУ,195,243,dp
Instrumentation and Control,Инструментиране и контрол,Блочен щит за управление,196,244,dp
IAEA,МААЕ,ВАБ,197,245,dp
International Atomic Energy Agency,Международна агенция за атомна енергия,,198,,dp
IDS,ИДМ,ВАБ,199,247,dp
Class 1E DC and UPS Power System,Клас 1E Захранваща система за постоянен ток и UPS,,200,,dp
IEEE,ИЕЕ,ВКЗ,201,249,dp
Institute of Electrical and Electronics Engineers,Институт по електротехника и електротехника,,202,,dp
INPO,INPO,ВНУ,203,251,dp
Institute of Nuclear Power Operations,Институт за ядрени енергийни операции,,204,,dp
IRWST,IRWST,ВСН,205,253,dp
In-Containment Refueling Water Storage Tank,Резервоар за презареждане в контейнери за съхранение на вода,,206,,dp
IVR,IVR,ГЗСС,207,255,dp
In-Vessel Retention,Задържане във Vessel,,208,,dp
LOCA,LOCA,ГНПК,209,257,dp
Loss-of-Coolant Accident,Злополука при загуба на съзнание,,210,,dp
LRF,ДПС,ГЦП,211,259,dp
Large Release Frequency,Голяма честота на освобождаване,Главна циркулационна помпа,212,260,dp
LPZ,LPZ,ДЕЗ,213,261,dp
Low Population Zone,Зона на нископопулация,,214,,dp
MC,MC,ДКП,215,263,dp
Metal Containment,Контейнер за метал,,216,,dp
MCR,MCR,,217,,dp
Main Control Room,Главна контролна зала,,218,,dp
MSS,MSS,,219,,dp
Main Steam System,Главна парна система,Институт по експлоатация на АЕЦ,220,268,dp
NAN,НАН,ИЧС,221,269,dp
Not Assessable Now,Необмислени сега,,222,,dp
NAP,NAP,,223,,dp
Not Applicable,Неприложимо,КИПиА,224,273,dp
NEI,НЕИ,КСК,225,275,dp
Nuclear Energy Institute,Институт за ядрена енергия,,226,,dp
NOC,НОК,МААЕ,227,277,dp
Non-Compliance,Несъвместимост,,228,,dp
NR,NR,МК,229,279,dp
Not a requirement,Не е задължително.,,230,,dp
NRC,НКС,МКРЗ,231,281,dp
Nuclear Regulatory Commission,Комисия за регулиране на ядрената енергия,Международната комисия за радиационна защита,232,282,dp
OCS,СОП,Н/Р,233,283,dp
Operations and Control Centers System,Система за управление и контрол на центровете,,234,,dp
OR,ИЛИ,НИИЕЕ,235,285,dp
Owner,Собственик,,236,,dp
PAR,PAR,НПАС,237,287,dp
Passive Autocatalytic Recombiner,Пасивен автокаталитичен рекомбинатор,,238,,dp
PCCAWST,ПОКАУСТ,ОВиК,239,289,dp
Passive Containment Cooling Ancillary Water Storage Tank,Пасивен резервоар за охлаждаща вода,,240,,dp
PCCWST,PCCWST,,241,,dp
Passive Containment Cooling Water Storage Tank,Пасивен резервоар за охлаждане на вода,,242,,dp
PCS,ППС,ОК,243,293,dp
Passive Containment Cooling Water System,Пасивна система за охлаждане на водата,,244,,dp
PGA,PGA,,245,,dp
Peak Ground Acceleration,Максимално ускорение на земната повърхност,,246,,dp
PIE,ПИЕ,ОНК,247,297,dp
Postulated Initiating Event,Постулирано иницииращо събитие,,248,,dp
PLS,PLS,ПА,249,299,dp
Plant Control System,Система за контрол на растенията,,250,,dp
PMS,ПМС,ПАР,251,301,dp
Protection and Safety Monitoring System,Система за наблюдение на защитата и безопасността,,252,,dp
POS,ПОС,ПГ,253,303,dp
"Project, Owner, or Site Specific","Проект, собственик, или сайт Специфичен",,254,,dp
PRA,ПРА,ПГНП,255,305,dp
Probabilistic Risk Assessment,Оценка на потенциалния риск,,256,,dp
PRHR,PRHR,ПДС,257,307,dp
Passive Residual Heat Removal,Пасивно отстраняване на остатъчна топлина,,258,,dp
PSA,PSA,,259,,dp
Probabilistic Safety Assessment,Пробабилна оценка на безопасността,,260,,dp
PWR,PWR,ПООТ,261,311,dp
Pressurized Water Reactor,Преобразувател на вода под налягане,,262,,dp
PXS,PXS,,263,,dp
Passive Core Cooling System,Пасивна система за охлаждане на ядрото,,264,,dp
QA,QA,ПС,265,315,dp
Quality Assurance,Гарантиране на качеството,,266,,dp
QMS,QMS,,267,,dp
Quality Management System,Система за управление на качеството,,268,,dp
R/A,R/A,РГХБЯЦ,269,319,dp
Reliability/Availability,Надеждност/Надеждност,,270,,dp
RCA,RCA,,271,,dp
Radiologically Controlled Area,Радиологично контролирана зона,Радиологично контролирана зона,272,322,dp
RCCA,RCCA,РНБ,273,323,dp
